asvab,annualearnings,privatecollege,dadcollege,momcollege
76618,55000,1,1,1
85093,89000,0,1,1
79761,78000,0,1,1
71565,71666.664,0,1,1
69272,33000,0,0,0
23729,33500,0,0,0
69353,39333.332,1,1,1
32258,50000,0,0,0
46282,600,0,0,0
39677,65000,0,0,0
67110,14713.333,1,1,1
99515,47174.668,1,1,1
35961,31000,0,0,1
42451,167942,0,1,1
94782,111000,0,1,1
97787,34666.668,0,1,1
90479,86666.664,0,1,1
63572,73000,0,1,1
84611,76666.664,0,1,1
87382,90000,0,1,1
18904,,0,1,1
22289,59333.332,0,0,0
96007,92500,0,1,1
49691,,0,0,0
73934,66000,0,1,1
66240,37350,0,0,1
46865,70000,0,0,0
90605,65872.664,1,1,1
75222,74000,0,0,1
85574,86666.664,1,0,1
71146,81666.664,0,1,0
5799,33000,0,1,1
99166,188111.67,0,1,1
64993,100000,1,1,1
62720,56000,1,1,1
60471,40000,0,0,0
60604,22666.666,1,0,1
28738,44000,0,0,0
62278,,0,1,1
73770,35000,0,1,0
94536,258992,0,0,0
97499,218364,1,1,1
89556,90000,0,0,0
98597,24666.666,0,0,0
87586,51000,0,0,1
93254,28333.334,0,0,1
83592,,0,0,1
85497,68000,0,1,1
58190,91333.336,0,1,1
73085,,0,1,1
88323,209778.33,0,1,1
90799,127000,0,1,1
91889,,0,1,1
14531,44333.332,0,0,0
65037,85000,1,1,1
89207,52606,1,1,1
28894,18733.334,0,0,1
99656,,0,0,0
33802,67500,0,1,1
88940,52666.668,0,1,1
90820,13333.333,0,1,0
74688,34666.668,1,1,1
64763,88333.336,1,0,0
12919,36000,0,0,0
31240,43714.332,0,0,1
98744,150880.33,1,1,1
21859,55666.668,0,0,0
87121,60000,0,1,1
45835,83333.336,1,1,1
66508,31000,0,0,0
50727,114666.66,0,0,0
69915,152942,0,0,0
74050,,1,1,1
89321,231445,0,1,1
45519,258992,0,0,1
71226,47000,1,1,1
23069,199508.33,1,1,1
32655,56000,0,0,1
50379,64666.668,0,1,1
44460,59666.668,1,1,1
58170,118500,1,1,1
98665,31333.334,1,1,1
59384,53333.332,0,0,0
48583,46000,1,0,1
93339,74666.664,0,1,1
98818,86666.664,0,1,1
88892,160880.33,1,1,1
86862,105000,1,1,1
54168,27000,1,0,1
40120,58333.332,0,0,0
92129,120000,1,1,1
88111,53000,0,1,1
95695,94000,1,1,1
67764,258992,1,1,1
72417,,0,1,1
30537,,0,1,1
26253,,0,0,0
78584,,0,0,1
57244,42666.668,0,0,0
85212,77000,1,0,1
59470,,0,0,0
93668,38000,0,0,0
79383,,1,1,1
67176,15000,0,1,1
83918,40000,0,1,0
74795,63666.668,0,0,1
65808,126666.66,0,0,0
69506,50000,0,0,1
91661,129333.34,1,0,1
65135,37500,0,0,1
82038,60000,1,1,1
31974,62500,0,1,1
28553,,0,0,0
75910,58666.668,0,1,1
85931,77833.336,0,0,1
68893,63333.332,1,1,1
57986,33333.332,1,1,1
76262,65166.668,0,1,1
61613,,0,1,1
90539,,0,1,1
72158,,0,0,0
17881,30000,0,0,0
94502,42666.668,0,1,1
60706,52333.332,0,0,0
95707,69333.336,0,1,1
9221,45000,0,0,0
85713,121333.34,1,1,0
70011,58000,0,0,1
13882,,0,0,1
70496,35500,0,0,1
38487,65666.664,0,0,0
89749,58333.332,0,1,0
98010,176817,1,0,0
