age,enroll,priorearn,educ,female,nonwhite,z,married,foundjob
31,0,2600,12,1,1,1,0,1
18,1,800,10,1,0,1,0,1
23,1,17000,12,0,0,1,1,1
30,0,0,12,1,1,0,0,1
19,1,813,12,1,0,1,0,1
17,0,0,10,1,0,1,0,1
26,1,8050,11,1,0,1,0,1
47,1,17000,11,1,0,1,1,1
28,1,3472,11,1,0,1,1,1
69,1,0,11,0,1,0,1,1
35,1,0,15,0,0,1,0,1
18,1,780,12,1,0,1,0,1
30,0,11000,13,1,0,1,0,1
38,1,2000,10,0,0,1,1,1
33,1,0,9,1,0,1,0,1
31,1,3000,11,0,0,1,1,1
31,1,1104,14,1,1,1,0,1
34,1,3300,12,1,0,1,0,1
18,0,0,12,1,1,1,0,1
18,0,5000,13,0,0,1,1,1
38,1,0,14,1,1,1,0,1
54,0,0,8,1,0,1,1,1
36,1,6000,14,1,0,1,0,1
20,0,2000,14,0,1,1,0,1
18,1,586,12,0,1,1,0,1
19,1,0,12,0,1,1,0,1
22,0,0,10,1,1,1,1,1
25,0,1500,8,1,1,0,1,1
34,0,12000,13,0,0,0,0,1
30,0,0,10,1,1,1,0,1
27,1,7000,12,1,0,1,0,1
22,0,1300,12,0,0,0,0,1
31,1,3000,11,0,0,1,0,1
35,1,8800,12,1,0,1,0,1
29,0,1030,12,0,1,0,0,1
37,0,900,12,1,0,1,0,1
25,1,100,10,1,1,1,1,1
26,1,3289,12,1,1,1,0,1
36,0,3301,12,0,0,1,0,1
28,1,11960,9,0,1,1,1,1
20,0,858,12,0,0,0,0,1
33,1,6602,10,0,0,1,1,1
31,1,3000,12,1,1,1,0,1
25,0,0,12,1,1,0,0,1
20,0,0,9,1,0,1,0,1
34,1,0,13,1,1,1,0,1
30,1,1750,10,1,1,1,0,1
21,0,4315,12,1,1,1,0,1
19,0,200,12,0,1,1,0,1
22,0,0,14,1,1,0,0,1
28,1,0,12,0,0,1,1,1
43,1,0,12,0,1,1,1,1
21,1,3490,10,1,1,1,0,1
21,0,0,12,1,0,0,0,1
21,1,45,12,0,0,1,0,1
30,1,0,11,0,1,1,0,1
21,1,0,10,1,0,1,0,1
41,0,4227,10,1,0,1,1,1
17,0,200,10,1,1,0,0,1
23,0,8500,12,0,1,0,1,1
30,1,9000,11,1,1,1,1,1
32,1,5000,10,1,1,1,1,1
27,0,3000,11,0,0,0,0,1
23,0,0,12,1,0,1,0,1
52,0,0,12,1,0,0,0,1
60,1,15028,12,1,0,1,1,1
25,0,8000,12,0,1,0,1,1
58,0,15000,16,1,0,0,0,1
19,1,0,13,1,0,1,0,1
17,1,826,9,0,1,1,0,1
36,0,0,12,1,0,0,0,1
39,1,0,9,1,1,1,0,1
34,0,94,11,0,1,0,0,1
32,1,400,15,1,1,1,0,1
29,1,5000,12,0,1,1,0,1
24,1,2300,11,1,0,1,0,1
18,1,900,8,1,0,1,0,1
27,1,12500,11,0,0,1,1,1
22,1,8000,12,1,1,1,0,1
16,0,1100,9,1,0,1,0,1
18,0,2591,12,1,0,0,0,1
37,0,0,11,0,0,0,1,1
37,1,700,10,0,0,1,0,1
32,0,3900,10,0,0,0,1,1
30,0,0,12,1,0,0,0,1
48,0,30000,17,0,0,1,1,1
23,1,0,9,0,0,1,0,1
40,0,35000,16,0,0,1,1,1
27,1,1400,12,0,0,1,1,1
23,1,10200,12,0,0,1,0,1
21,1,1200,12,0,1,1,0,1
26,0,0,12,0,1,0,0,1
20,1,500,13,1,0,1,0,1
25,1,150,12,0,1,1,0,1
43,0,5661,8,0,0,0,1,1
19,1,0,11,0,0,1,0,1
19,0,2000,11,0,0,1,0,1
20,1,1010,12,1,0,1,0,1
43,0,4500,12,0,0,0,1,1
23,1,0,10,1,0,1,0,1
34,1,0,14,0,1,1,0,1
22,1,1173,12,0,1,1,0,1
19,0,4000,11,1,1,0,0,1
42,0,6900,15,1,1,0,0,1
38,0,90,11,1,0,0,0,1
21,1,240,12,1,0,1,0,1
34,0,0,10,0,0,0,1,1
29,0,0,9,1,1,0,0,1
26,1,16000,11,0,0,1,0,1
32,1,6000,12,0,0,1,1,1
34,0,134,12,0,1,0,0,1
56,1,3793,12,1,0,1,0,1
30,1,0,14,1,0,1,1,1
25,1,8000,11,0,0,1,0,1
26,1,5189,12,1,1,1,0,1
27,1,3981,13,0,0,1,0,1
23,0,0,15,0,0,0,0,1
36,1,108,10,0,0,1,1,1
43,1,1200,13,1,0,1,1,1
20,0,1514,12,0,1,0,0,1
21,1,4898,12,0,1,1,0,1
19,0,5261,12,0,1,1,0,1
54,1,0,12,0,0,1,0,1
25,0,0,11,0,1,0,0,1
31,1,0,12,1,1,1,1,1
24,1,0,12,0,0,1,0,1
57,1,25183,12,0,0,1,1,1
67,0,2400,8,0,0,0,1,1
20,1,5072,12,0,1,1,0,1
24,1,200,12,0,0,1,1,1
46,0,8000,10,0,0,0,1,1
48,1,6800,15,0,1,1,0,1
19,0,2211,12,1,0,1,0,1
31,1,1800,10,1,0,1,1,1
46,0,0,8,1,1,0,1,1
17,1,3000,8,1,0,1,1,1
41,1,0,16,0,0,1,0,1
18,0,0,10,1,1,0,0,1
39,1,5136,11,1,0,1,0,1
39,1,8500,12,1,0,1,0,1
38,0,10000,12,1,0,1,0,1
19,0,1800,12,1,1,1,0,1
23,0,98,12,0,1,1,0,1
28,0,3129,11,0,0,1,1,1
26,1,0,12,1,0,1,1,1
17,0,0,9,0,0,0,0,1
19,0,5860,10,1,1,0,1,1
40,1,14000,12,0,0,1,0,1
24,1,3804,12,1,1,1,0,1
30,1,500,8,0,0,1,1,1
19,1,100,9,0,1,1,0,1
18,0,0,12,1,1,0,1,1
41,1,586,12,1,1,1,0,1
49,0,4000,12,0,1,0,1,1
32,1,7000,13,1,1,1,0,1
18,1,0,10,0,1,1,0,1
19,1,1449,12,1,0,1,1,1
57,0,700,12,1,0,1,0,1
28,1,0,12,1,1,1,0,1
18,1,1500,10,1,0,1,0,1
29,0,40,9,0,0,1,0,1
19,0,500,12,1,0,1,0,1
19,1,0,9,1,1,1,0,1
28,1,0,9,0,1,1,0,1
30,1,5000,9,0,0,1,0,1
55,1,0,13,0,0,1,1,1
18,0,2300,10,1,1,0,0,1
24,0,8700,12,0,0,0,0,1
28,0,2100,10,1,0,0,1,1
30,0,6000,13,0,0,0,0,1
27,1,2340,9,1,0,1,1,1
18,0,0,12,1,1,1,0,1
21,0,780,12,1,0,0,0,1
40,0,30000,12,1,1,0,0,1
26,0,9000,12,1,0,0,0,1
39,1,9932,10,0,1,1,0,1
21,0,1200,11,0,0,1,0,1
53,1,12480,10,0,1,1,0,1
19,1,405,11,1,1,1,0,1
22,0,3000,13,1,1,0,0,1
18,1,0,12,0,1,1,0,1
56,0,3228,11,1,0,0,0,1
45,1,2664,11,1,1,1,0,1
31,0,2000,13,0,1,0,1,1
18,1,800,10,1,0,1,0,1
35,0,2560,12,1,1,0,1,1
55,1,19609,12,0,0,1,1,1
26,0,14661,12,0,0,0,1,1
21,1,0,12,1,0,1,0,1
51,1,4000,11,1,1,1,0,1
18,1,0,9,1,1,1,0,1
21,0,608,13,1,0,1,1,1
25,0,3000,16,1,0,1,0,1
32,1,400,13,1,0,1,1,1
44,0,10000,9,0,0,1,0,1
26,0,2000,10,0,1,0,0,1
28,1,5060,12,1,1,1,0,1
30,1,4000,14,1,0,1,0,1
18,0,1799,9,0,0,0,0,1
